Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='dgcnn_vnn_airplane', k=40, lr=0.001, model='eqcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, pooling='mean', rot='aligned', scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Train 132, loss: 0.776919, train acc: 0.952972, train avg acc: 0.946297, train iou: 0.885264
Test 132, loss: 0.833593, test acc: 0.908719, test avg acc: 0.896313, test iou: 0.807907
Train 133, loss: 0.776257, train acc: 0.953651, train avg acc: 0.946973, train iou: 0.887412
Test 133, loss: 0.832953, test acc: 0.909563, test avg acc: 0.889380, test iou: 0.807734
Train 134, loss: 0.776224, train acc: 0.953644, train avg acc: 0.946632, train iou: 0.885420
Test 134, loss: 0.833220, test acc: 0.910202, test avg acc: 0.893476, test iou: 0.801178
Train 135, loss: 0.778099, train acc: 0.952018, train avg acc: 0.945334, train iou: 0.881437
Test 135, loss: 0.829375, test acc: 0.912456, test avg acc: 0.888666, test iou: 0.810902
Train 136, loss: 0.776888, train acc: 0.952973, train avg acc: 0.946290, train iou: 0.884897
Test 136, loss: 0.831817, test acc: 0.910425, test avg acc: 0.892121, test iou: 0.809527
Train 137, loss: 0.775059, train acc: 0.954505, train avg acc: 0.948160, train iou: 0.890209
Test 137, loss: 0.834451, test acc: 0.909363, test avg acc: 0.890897, test iou: 0.805851
Train 138, loss: 0.774992, train acc: 0.954606, train avg acc: 0.948055, train iou: 0.890323
Test 138, loss: 0.832922, test acc: 0.910428, test avg acc: 0.889696, test iou: 0.804028
Train 139, loss: 0.775150, train acc: 0.954533, train avg acc: 0.947950, train iou: 0.889111
Test 139, loss: 0.830409, test acc: 0.912328, test avg acc: 0.892815, test iou: 0.804832
Train 140, loss: 0.774121, train acc: 0.955344, train avg acc: 0.949033, train iou: 0.892318
Test 140, loss: 0.833116, test acc: 0.909500, test avg acc: 0.888106, test iou: 0.805296
Train 141, loss: 0.773824, train acc: 0.955709, train avg acc: 0.949142, train iou: 0.893227
Test 141, loss: 0.831959, test acc: 0.910676, test avg acc: 0.887015, test iou: 0.795161
